index,Win Order,Record,Same_Winner_Count,Total_Count,Winrate,p-value
0,L,0-1,99,355,0.27887323943661974,0.4729466846734254
68,W,1-0,256,355,0.7211267605633803,0.4798815997702597
1,LL,0-2,21,204,0.10294117647058823,0.442228747515511
108,WW,2-0,183,204,0.8970588235294118,0.46622378421622046
69,WL,1-1,73,151,0.48344370860927155,0.6275430608745137
29,LW,1-1,78,151,0.5165562913907285,0.3127518119448556
89,WLW,2-1,54,78,0.6923076923076923,0.86553928861232
109,WWL,2-1,87,108,0.8055555555555556,0.08068714837626634
70,WLL,1-2,19,73,0.2602739726027397,0.33888911376448205
30,LWL,1-2,24,78,0.3076923076923077,0.0876016329433903
49,LWW,2-1,54,73,0.7397260273972602,0.5587080844129075
2,LLL,0-3,0,96,0.0,
128,WWW,3-0,96,96,1.0,0.0
10,LLW,1-2,21,108,0.19444444444444445,0.8779747936673361
61,LWWW,3-1,31,33,0.9393939393939394,0.5505737713831227
90,WLWL,2-2,19,39,0.48717948717948717,0.5000000000000002
4,LLLW,1-3,0,32,0.0,0.7765575941071151
78,WLLW,2-2,17,40,0.425,0.7852047460783069
110,WWLL,2-2,39,59,0.6610169491525424,0.004320749841640881
71,WLLL,1-3,2,33,0.06060606060606061,0.19063394975302683
129,WWWL,3-1,32,32,1.0,0.0
11,LLWL,1-3,1,49,0.02040816326530612,0.6624284586472114
18,LLWW,2-2,20,59,0.3389830508474576,0.990831456110449
50,LWWL,2-2,23,40,0.575,0.13409362552738457
101,WLWW,3-1,35,39,0.8974358974358975,0.8983936776316509
31,LWLL,1-3,4,39,0.10256410256410256,0.03163541635308409
38,LWLW,2-2,20,39,0.5128205128205128,0.37462931238042096
121,WWLW,3-1,48,49,0.9795918367346939,0.10078823116054625
102,WLWWL,3-2,17,21,0.8095238095238095,0.5054479479851619
96,WLWLW,3-2,15,19,0.7894736842105263,0.5868787795826906
91,WLWLL,2-3,4,20,0.2,0.2482241005459982
24,LLWWW,3-2,14,20,0.7,0.8878160233478334
122,WWLWL,3-2,11,12,0.9166666666666666,0.10537851732945758
84,WLLWW,3-2,13,15,0.8666666666666667,0.2457884224009277
6,LLLWW,2-3,0,9,0.0,0.8150458575056252
79,WLLWL,2-3,4,25,0.16,0.4293391082897895
13,LLWLW,2-3,1,12,0.08333333333333333,0.6338096522801342
116,WWLLW,3-2,33,39,0.8461538461538461,0.3230086962099863
73,WLLLW,2-3,2,13,0.15384615384615385,0.3885384231824196
39,LWLWL,2-3,4,19,0.21052631578947367,0.2142140695725403
130,WWWLL,3-2,9,9,1.0,0.0
62,LWWWL,3-2,11,13,0.8461538461538461,0.32159557879300804
111,WWLLL,2-3,6,20,0.3,0.042038287769409544
56,LWWLW,3-2,21,25,0.84,0.359927578358918
51,LWWLL,2-3,2,15,0.13333333333333333,0.4860371772227928
44,LWLWW,3-2,16,20,0.8,0.5456544996148628
33,LWLLW,2-3,4,21,0.19047619047619047,0.283467655958908
19,LLWWL,2-3,6,39,0.15384615384615385,0.5095452530486119
117,WWLLWL,3-3,8,14,0.5714285714285714,0.21197509765625
113,WWLLLW,3-3,6,8,0.75,0.03515625
123,WWLWLL,3-3,1,2,0.5,0.25
103,WLWWLL,3-3,1,5,0.2,0.8125
63,LWWWLL,3-3,2,4,0.5,0.3125
93,WLWLLW,3-3,4,9,0.4444444444444444,0.5
85,WLLWWL,3-3,6,8,0.75,0.03515625
81,WLLWLW,3-3,4,12,0.3333333333333333,0.80615234375
75,WLLLWW,3-3,2,4,0.5,0.3125
57,LWWLWL,3-3,8,12,0.6666666666666666,0.072998046875
53,LWWLLW,3-3,2,8,0.25,0.85546875
45,LWLWWL,3-3,5,9,0.5555555555555556,0.25390625
41,LWLWLW,3-3,4,7,0.5714285714285714,0.2265625
35,LWLLWW,3-3,4,5,0.8,0.03125
25,LLWWWL,3-3,2,8,0.25,0.85546875
21,LLWWLW,3-3,6,14,0.42857142857142855,0.604736328125
15,LLWLWW,3-3,1,2,0.5,0.25
8,LLLWWW,3-3,0,2,0.0,0.75
97,WLWLWL,3-3,3,7,0.42857142857142855,0.5
131,WWWLLL,3-3,2,2,1.0,0.0
