Series,Winner,This Team,Record,Win Order
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,Miami Heat,Miami Heat,1-0,W
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,Miami Heat,Milwaukee Bucks,0-1,L
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,Miami Heat,Milwaukee Bucks,1-1,WL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,Miami Heat,Miami Heat,1-1,LW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,Miami Heat,Miami Heat,2-1,WLW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,Miami Heat,Milwaukee Bucks,1-2,LWL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,Miami Heat,Miami Heat,3-1,WLWW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,Miami Heat,Milwaukee Bucks,1-3,LWLL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,Miami Heat,Miami Heat,4-1,WLWWW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,Miami Heat,Milwaukee Bucks,1-4,LWLLL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,New York Knicks,New York Knicks,1-0,W
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,New York Knicks,Cleveland Cavaliers,0-1,L
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,New York Knicks,Cleveland Cavaliers,1-1,WL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,New York Knicks,New York Knicks,1-1,LW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,New York Knicks,New York Knicks,2-1,WLW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,New York Knicks,Cleveland Cavaliers,1-2,LWL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,New York Knicks,New York Knicks,3-1,WLWW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,New York Knicks,Cleveland Cavaliers,1-3,LWLL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,New York Knicks,New York Knicks,4-1,WLWWW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,New York Knicks,Cleveland Cavaliers,1-4,LWLLL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-nets-vs-76ers.html,Philadelphia 76ers,Philadelphia 76ers,1-0,W
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-nets-vs-76ers.html,Philadelphia 76ers,Brooklyn Nets,0-1,L
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-nets-vs-76ers.html,Philadelphia 76ers,Philadelphia 76ers,2-0,WW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-nets-vs-76ers.html,Philadelphia 76ers,Brooklyn Nets,0-2,LL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-nets-vs-76ers.html,Philadelphia 76ers,Philadelphia 76ers,3-0,WWW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-nets-vs-76ers.html,Philadelphia 76ers,Brooklyn Nets,0-3,LLL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-nets-vs-76ers.html,Philadelphia 76ers,Philadelphia 76ers,4-0,WWWW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-nets-vs-76ers.html,Philadelphia 76ers,Brooklyn Nets,0-4,LLLL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,Boston Celtics,Boston Celtics,1-0,W
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,Boston Celtics,Atlanta Hawks,0-1,L
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,Boston Celtics,Boston Celtics,2-0,WW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,Boston Celtics,Atlanta Hawks,0-2,LL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,Boston Celtics,Atlanta Hawks,2-1,WWL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,Boston Celtics,Boston Celtics,1-2,LLW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,Boston Celtics,Boston Celtics,3-1,WWLW
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,Boston Celtics,Atlanta Hawks,1-3,LLWL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,Boston Celtics,Atlanta Hawks,3-2,WWLWL
https://www.basketball-reference.com/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,Boston Celtics,Boston Celtics,2-3,LLWLW
