Series,Winner,This Team,Record,Win Order
https://www.basketball-reference.com/playoffs/1947-baa-finals-stags-vs-warriors.html,Philadelphia Warriors,Philadelphia Warriors,1-0,W
https://www.basketball-reference.com/playoffs/1947-baa-finals-stags-vs-warriors.html,Philadelphia Warriors,Chicago Stags,0-1,L
https://www.basketball-reference.com/playoffs/1947-baa-finals-stags-vs-warriors.html,Philadelphia Warriors,Philadelphia Warriors,2-0,WW
https://www.basketball-reference.com/playoffs/1947-baa-finals-stags-vs-warriors.html,Philadelphia Warriors,Chicago Stags,0-2,LL
https://www.basketball-reference.com/playoffs/1947-baa-finals-stags-vs-warriors.html,Philadelphia Warriors,Philadelphia Warriors,3-0,WWW
https://www.basketball-reference.com/playoffs/1947-baa-finals-stags-vs-warriors.html,Philadelphia Warriors,Chicago Stags,0-3,LLL
https://www.basketball-reference.com/playoffs/1947-baa-finals-stags-vs-warriors.html,Philadelphia Warriors,Philadelphia Warriors,3-1,WWWL
https://www.basketball-reference.com/playoffs/1947-baa-finals-stags-vs-warriors.html,Philadelphia Warriors,Chicago Stags,1-3,LLLW
https://www.basketball-reference.com/playoffs/1947-baa-finals-stags-vs-warriors.html,Philadelphia Warriors,Philadelphia Warriors,4-1,WWWLW
https://www.basketball-reference.com/playoffs/1947-baa-finals-stags-vs-warriors.html,Philadelphia Warriors,Chicago Stags,1-4,LLLWL
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-knicks-vs-warriors.html,Philadelphia Warriors,Philadelphia Warriors,1-0,W
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-knicks-vs-warriors.html,Philadelphia Warriors,New York Knicks,0-1,L
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-knicks-vs-warriors.html,Philadelphia Warriors,Philadelphia Warriors,2-0,WW
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-knicks-vs-warriors.html,Philadelphia Warriors,New York Knicks,0-2,LL
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-stags-vs-capitols.html,Chicago Stags,Chicago Stags,1-0,W
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-stags-vs-capitols.html,Chicago Stags,Washington Capitols,0-1,L
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-stags-vs-capitols.html,Chicago Stags,Chicago Stags,2-0,WW
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-stags-vs-capitols.html,Chicago Stags,Washington Capitols,0-2,LL
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-stags-vs-capitols.html,Chicago Stags,Chicago Stags,3-0,WWW
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-stags-vs-capitols.html,Chicago Stags,Washington Capitols,0-3,LLL
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-stags-vs-capitols.html,Chicago Stags,Chicago Stags,3-1,WWWL
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-stags-vs-capitols.html,Chicago Stags,Washington Capitols,1-3,LLLW
https://www.basketball-reference.com/playoffs/1947-baa-semifinals-stags-vs-capitols.html,Chicago Stags,Chicago Stags,3-2,WWWLL
